url,stars,description
https://github.com/cypress-io/cypress,"46,387","Fast, easy and reliable testing for anything that runs in a browser."
https://github.com/mozilla/pdf.js,"47,032",PDF Reader in JavaScript
https://github.com/airbnb/javascript,"142,822",JavaScript Style Guide
https://github.com/module-federation/module-federation-examples,"5,393","Implementation examples of module federation , by the creators of module federation"
https://github.com/wekan/wekan,"19,227","The Open Source kanban (built with Meteor). Keep variable/table/field names camelCase. For translations, only add Pull Request changes to wekan/i18n/en.i18n.json , other translations are done athttps://app.transifex.com/wekan/wekanonly."
https://github.com/usebruno/bruno,"21,558",Opensource IDE For Exploring and Testing Api's (lightweight alternative to postman/insomnia)
https://github.com/prabathLK/PRABATH-MD,"1,032",🇱🇰 Multi-device whatsapp bot 🎉
https://github.com/mishoo/UglifyJS,"12,999",JavaScript parser / mangler / compressor / beautifier toolkit
https://github.com/facebook/react,"224,664",The library for web and native user interfaces.
https://github.com/pixeltris/TwitchAdSolutions,"7,153",
https://github.com/spring-projects/spring-framework,"55,587",Spring Framework
https://github.com/redisson/redisson,"22,944","Redisson - Easy Redis Java client and Real-Time Data Platform. Valkey compatible. Sync/Async/RxJava/Reactive API. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache ..."
https://github.com/checkstyle/checkstyle,"8,208","Checkstyle is a development tool to help programmers write Java code that adheres to a coding standard. By default it supports the Google Java Style Guide and Sun Code Conventions, but is highly configurable. It can be invoked with an ANT task and a command line program."
https://github.com/AutoMQ/automq,"1,862",AutoMQ is a cloud-native fork of Kafka by separating storage to S3 and EBS. 10x cost-effective. Autoscale in seconds. Single-digit ms latency.
https://github.com/flowable/flowable-engine,"7,574","A compact and highly efficient workflow and Business Process Management (BPM) platform for developers, system admins and business users."
https://github.com/TheWidlarzGroup/react-native-video,"7,061",A <Video /> component for react-native
https://github.com/apache/doris,"11,773","Apache Doris is an easy-to-use, high performance and unified analytics database."
https://github.com/googlesamples/mlkit,"3,432",A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS
https://github.com/apache/zookeeper,"12,021",Apache ZooKeeper
https://github.com/StarRocks/starrocks,"8,243","StarRocks, a Linux Foundation project, is a next-generation sub-second MPP OLAP database for full analytics scenarios, including multi-dimensional analytics, real-time analytics, and ad-hoc queries."
https://github.com/strimzi/strimzi-kafka-operator,"4,619",Apache Kafka® running on Kubernetes
https://github.com/antlr/antlr4,"16,662","ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files."
https://github.com/Melledy/LunarCore,"1,182",A game server reimplementation for a certain turn-based anime game
https://github.com/digitalinnovationone/trilha-java-basico,768,
https://github.com/cloudcommunity/Free-Certifications,"24,093",A curated list of free courses & certifications.
https://github.com/langfuse/langfuse,"4,407","🪢 Open source LLM engineering platform: Observability, metrics, evals, prompt management, playground, datasets. Integrates with LlamaIndex, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23"
https://github.com/Anduin2017/HowToCook,"62,972",程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
https://github.com/omnivore-app/omnivore,"11,127","Omnivore is a complete, open source read-it-later solution for people who like reading."
https://github.com/livekit/livekit,"8,857",End-to-end stack for WebRTC. SFU media server and SDKs.
https://github.com/didi/xiaoju-survey,"1,869","「快速」打造「专属」问卷系统, 让调研「更轻松」"
https://github.com/dbt-labs/dbt-core,"9,234",dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.
https://github.com/ansible/ansible,"61,700","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.https://docs.ansible.com."
https://github.com/open-mmlab/mmdetection3d,"4,993",OpenMMLab's next-generation platform for general 3D object detection.
https://github.com/CollegesChat/university-information,"2,274",收集全国各高校招生时不会写明，却会实实在在影响大学生活质量的要求与细节
https://github.com/reflex-dev/reflex,"17,870",🕸️ Web apps in pure Python 🐍
https://github.com/intuitem/ciso-assistant-community,892,"CISO Assistant is a one-stop-shop for GRC, covering Risk, AppSec and Audit Management and supporting +46 frameworks worldwide: NIST CSF, ISO 27001, SOC2, CIS, PCI DSS, NIS2, CMMC, PSPF, GDPR, HIPAA, Essential Eight, NYDFS-500, DORA, NIST AI RMF, 800-53, 800-171, CyFun, CJIS, AirCyber and so much more"
https://github.com/pdm-project/pdm,"7,434",A modern Python package and dependency manager supporting the latest PEP standards
https://github.com/PostHog/posthog,"19,266","🦔 PostHog provides open-source product analytics, session recording, feature flagging and A/B testing that you can self-host."
https://github.com/xorbitsai/inference,"3,408","Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop."
https://github.com/hathach/tinyusb,"4,651",An open source cross-platform USB stack for embedded system
https://github.com/redis/redis,"65,503","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
https://github.com/microsoft/react-native-code-push,"8,865",React Native module for CodePush
https://github.com/eclipse/mosquitto,"8,601",Eclipse Mosquitto - An open source MQTT broker
https://github.com/uber/h3,"4,689",Hexagonal hierarchical geospatial indexing system
https://github.com/VirusTotal/yara,"7,886",The pattern matching swiss knife
https://github.com/FRRouting/frr,"3,108",The FRRouting Protocol Suite
https://github.com/gluster/glusterfs,"4,556",Gluster Filesystem : Build your distributed storage in minutes
https://github.com/kamailio/kamailio,"2,184",Kamailio - The Open Source SIP Server for large VoIP and real-time communication platforms -
https://github.com/pgbouncer/pgbouncer,"2,753",lightweight connection pooler for PostgreSQL
https://github.com/lvgl/lvgl,"15,535","Embedded graphics library to create beautiful UIs for any MCU, MPU and display type."
https://github.com/freebsd/freebsd-src,"7,624",The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests....
https://github.com/libuv/libuv,"23,523",Cross-platform asynchronous I/O
https://github.com/AFLplusplus/AFLplusplus,"4,800","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
https://github.com/google/sanitizers,"10,988","AddressSanitizer, ThreadSanitizer, MemorySanitizer"
https://github.com/chrismaltby/gb-studio,"8,284",A quick and easy to use drag and drop retro game creator for your favourite handheld video game system
https://github.com/spdk/spdk,"2,924",Storage Performance Development Kit
https://github.com/86Box/86Box,"2,503",Emulator of x86-based machines based on PCem.
https://github.com/esnet/iperf,"6,500","iperf3: A TCP, UDP, and SCTP network bandwidth measurement tool"
https://github.com/Klipper3d/klipper,"8,981",Klipper is a 3d-printer firmware
https://github.com/stephane/libmodbus,"3,286","A Modbus library for Linux, Mac OS, FreeBSD and Windows"
https://github.com/protocolbuffers/protobuf,"64,417",Protocol Buffers - Google's data interchange format
https://github.com/grpc/grpc,"41,112","The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
https://github.com/NVIDIA/TensorRT-LLM,"7,335",TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.
https://github.com/dmlc/xgboost,"25,753","Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow"
https://github.com/colmap/colmap,"7,072",COLMAP - Structure-from-Motion and Multi-View Stereo
https://github.com/yhirose/cpp-httplib,"12,218",A C++ header-only HTTP/HTTPS server and client library
https://github.com/AGWA/git-crypt,"8,082",Transparent file encryption in git
https://github.com/abseil/abseil-cpp,"14,240",Abseil Common Libraries (C++)
https://github.com/fmtlib/fmt,"19,789",A modern formatting library
https://github.com/o3de/o3de,"7,511","Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators to build AAA games, cinema-quality 3D worlds, and high-fidelity simulations without any fees or commercial obligations."
https://github.com/mixxxdj/mixxx,"4,244",Mixxx is Free DJ software that gives you everything you need to perform live mixes.
https://github.com/ggerganov/llama.cpp,"60,920",LLM inference in C/C++
https://github.com/carbon-language/carbon-lang,"32,326","Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)"
https://github.com/google-ai-edge/mediapipe,"26,069","Cross-platform, customizable ML solutions for live and streaming media."
https://github.com/Tencent/MMKV,"17,052","An efficient, small mobile key-value storage framework developed by WeChat. Works on Android, iOS, macOS, Windows, and POSIX."
https://github.com/microsoft/AirSim,"16,037","Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research"
https://github.com/CleverRaven/Cataclysm-DDA,"9,927",Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.
https://github.com/cameron314/concurrentqueue,"9,481","A fast multi-producer, multi-consumer lock-free concurrent queue for C++11"
https://github.com/aptos-labs/aptos-core,"5,887",Aptos is a layer 1 blockchain built to support the widespread use of blockchain through better technology and user experience.
https://github.com/sunface/rust-course,"23,908","“连续六年成为全世界最受喜爱的语言，无 GC 也无需手动内存管理、极高的性能和安全性、过程/OO/函数式编程、优秀的包管理、JS 未来基石"" — 工作之余的第二语言来试试 Rust 吧。<<Rust语言圣经>>拥有全面且深入的讲解、生动贴切的示例、德芙般丝滑的内容，甚至还有JS程序员关注的 WASM 和 Deno 等专题。这可能是目前最用心的 Rust 中文学习教程 / Book"
https://github.com/gfx-rs/wgpu,"11,449","A cross-platform, safe, pure-Rust graphics API."
https://github.com/extrawurst/gitui,"17,782",Blazing 💥 fast terminal-ui for git written in rust 🦀
https://github.com/solana-labs/solana-program-library,"3,244",A collection of Solana programs maintained by Solana Labs
https://github.com/tokio-rs/tracing,"5,112",Application level tracing for Rust.
https://github.com/seanmonstar/reqwest,"9,392",An easy and powerful Rust HTTP Client
https://github.com/Yamato-Security/hayabusa,"2,056",Hayabusa (隼) is a sigma-based threat hunting and fast forensics timeline generator for Windows event logs.
https://github.com/delta-io/delta-rs,"1,969","A native Rust library for Delta Lake, with bindings into Python"
https://github.com/gimli-rs/object,610,A unified interface for reading and writing object file formats
https://github.com/paradedb/paradedb,"4,676",Postgres for Search and Analytics
https://github.com/apache/opendal,"2,986",Apache OpenDAL: access data freely.
https://github.com/graphprotocol/graph-node,"2,846",Graph Node indexes data from blockchains such as Ethereum and serves it over GraphQL
https://github.com/vosen/ZLUDA,"8,280",CUDA on AMD GPUs
https://github.com/slint-ui/slint,"15,868","Slint is a declarative GUI toolkit to build native user interfaces for Rust, C++, or JavaScript apps."
https://github.com/neondatabase/neon,"13,171","Neon: Serverless Postgres. We separated storage and compute to offer autoscaling, code-like database branching, and scale to zero."
https://github.com/apache/arrow-rs,"2,303",Official Rust implementation of Apache Arrow
https://github.com/flutter/samples,"16,801",A collection of Flutter examples and demos
https://github.com/nank1ro/flutter-shadcn-ui,670,"shadcn-ui ported in Flutter. Awesome UI components for Flutter, fully customizable."
https://github.com/isar/isar,"3,434","Extremely fast, easy to use, and fully async NoSQL database for Flutter"
https://github.com/Sub6Resources/flutter_html,"1,764",A Flutter widget for rendering static html as Flutter widgets (Will render over 80 different html tags!)
https://github.com/samarthagarwal/FlutterScreens,"5,614","A collection of Screens and attractive UIs built with Flutter ready to be used in your applications. No external libraries are used. Just download, add to your project and use."
https://github.com/flutter/gallery,"6,278",Flutter Gallery was a resource to help developers evaluate and use Flutter
https://github.com/btcpayserver/btcpayserver,"6,145","Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor."
https://github.com/dotnet/MQTTnet,"4,294",MQTTnet is a high performance .NET library for MQTT based communication. It provides a MQTT client and a MQTT server (broker). The implementation is based on the documentation fromhttp://mqtt.org/.
https://github.com/elsa-workflows/elsa-core,"6,021",A .NET workflows library
https://github.com/dotnet/orleans,"9,927",Cloud Native application framework for .NET
https://github.com/d2phap/ImageGlass,"7,038","🏞 A lightweight, versatile image viewer"
https://github.com/SonarSource/sonar-dotnet,748,Code analyzer for C# and VB.NET projects
https://github.com/sshnet/SSH.NET,"3,876","SSH.NET is a Secure Shell (SSH) library for .NET, optimized for parallelism."
https://github.com/dotnet-architecture/eShopOnWeb,"10,036","Sample ASP.NET Core 8.0 reference application, powered by Microsoft, demonstrating a layered application architecture with monolithic deployment model. Download the eBook PDF from docs folder."
https://github.com/ardalis/CleanArchitecture,"15,159",Clean Architecture Solution Template: A starting point for Clean Architecture with ASP.NET Core
https://github.com/uberhalit/EldenRingFpsUnlockAndMore,"1,158","A small utility to remove frame rate limit, change FOV, add widescreen support and more for Elden Ring"
https://github.com/seerge/g-helper,"5,762","Lightweight Armoury Crate alternative for Asus laptops and ROG Ally. Control tool for ROG Zephyrus G14, G15, G16, M16, Flow X13, Flow X16, TUF, Strix, Scar and other models"
https://github.com/dotenvx/dotenvx,"1,330",a better dotenv–from the creator of `dotenv`
https://github.com/exceljs/exceljs,"13,203",Excel Workbook Manager
https://github.com/select2/select2,"25,836","Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
https://github.com/appium/appium,"18,229","Cross-platform automation framework for all kinds of apps, built on top of the W3C WebDriver protocol"
https://github.com/swagger-api/swagger-ui,"25,954","Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API."
https://github.com/quasarframework/quasar,"25,486",Quasar Framework - Build high-performance VueJS user interfaces in record time
https://github.com/jamiebuilds/the-super-tiny-compiler,"27,604",⛄ Possibly the smallest compiler ever
https://github.com/ckeditor/ckeditor5,"8,680","Powerful rich text editor framework with a modular architecture, modern integrations, and features like collaborative editing."
https://github.com/trekhleb/javascript-algorithms,"184,933",📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
https://github.com/31b4/Leetcode-Premium-Bypass,"3,226",Leetcode Premium Unlocker 2024
